frequency,rmse
45.22330147,1.628655249
45.36734694,1.580504202
45.53061224,1.507338936
45.98372514,1.38474134
45.98372514,1.43995169
46.34693878,1.507525677
46.67346939,1.562502334
47,1.663230626
47.08979592,1.627790755
47.32653061,1.562651727
47.65306122,1.507824463
47.98847843,1.45009632
48.30612245,1.507973856
48.63265306,1.590401494
48.79591837,1.645340803
48.95918367,1.709430439
49.44897959,1.654640523
49.6122449,1.618076564
49.99323172,1.550708435
50.42857143,1.508459384
50.75365539,1.482047028
51.08163265,1.444556489
51.3758202,1.382100415
51.57142857,1.344014939
51.79059675,1.289209446
52.06122449,1.234323063
52.55102041,1.211410887
53.04081633,1.179645191
53.31144407,1.115208878
53.53061224,1.051652661
53.72622061,0.999071446
54.02040816,0.941960784
54.62490313,0.918301847
55.16326531,0.887320261
55.32653061,0.841605976
55.65306122,0.786778711
56.0074916,0.741945006
56.46938776,0.786965453
57.12244898,0.851167134
57.39995571,0.815047113
57.6122449,0.768926237
57.94311547,0.730764564
58.26530612,0.796526611
58.42857143,0.85146592
58.59183673,0.933856209
58.75510204,0.970494865
58.98005683,1.035142999
59.24489796,0.970606909
59.57142857,0.915779645
59.89795918,0.860952381
60.55102041,0.851951447
61.20408163,0.870401494
61.36734694,0.806386555
61.69387755,0.75155929
62.02175149,0.691016275
62.34693878,0.751708683
62.51020408,0.815798319
62.83673469,0.879925303
63.43506415,0.920360293
63.97959184,0.953389356
64.69014725,0.934939673
65.89299923,0.880640996
66.42857143,0.825845005
66.79168174,0.782510348
67.08163265,0.743641457
67.96688194,0.721258241
69.04081633,0.725788982
69.07295273,0.698828352
69.53061224,0.634397759
69.69387755,0.579533147
70.02040816,0.524705882
71,0.598132586
71.32653061,0.552455649
71.65306122,0.497628385
72.14285714,0.461139122
73.12244898,0.497964519
73.75992767,0.548798525
73.7755102,0.58961718
74.25765952,0.556273765
74.59183673,0.525751634
74.91836735,0.489225023
75.43285973,0.516917949
76.06122449,0.553538749
76.8154482,0.597970681
77.53061224,0.645378151
78.02040816,0.682091503
78.19803668,0.643644957
78.67346939,0.609038282
79,0.572511671
79.71888401,0.560869147
80.30612245,0.527058824
80.95918367,0.454005602
81.10147249,0.49821647
81.6122449,0.545658263
82.06928442,0.62121363
82.91836735,0.701512605
83.03709636,0.666119893
83.40816327,0.610121382
84.06122449,0.546218487
84.3643813,0.602366599
84.55102041,0.628683473
85.04081633,0.674547152
85.53061224,0.619757236
85.80227331,0.578932478
86.18367347,0.638207283
86.34693878,0.702296919
86.56269698,0.777992838
86.67346939,0.821325864
86.83921467,0.86523033
87,0.885452848
93.12820513,2.145791059
93.41880342,2.253551005
94,2.397128451
94.58119658,2.21696489
94.87179487,2.072926274
95.45299145,1.928733936
96.03418803,1.784541597
96.61538462,1.928119043
97.1965812,2.035725266
98.06837607,2.179148989
98.64957265,2.03495665
99.81196581,1.926428088
100.6837607,1.961938142
101.2649573,2.069544365
102.1367521,1.961169526
103.008547,2.032650802
103.8803419,1.852333518
104.1709402,1.708294903
105.3333333,1.779622456
106.4957265,1.886921232
107.0769231,2.030498678
108.2393162,1.993912562
108.8205128,1.849720224
109.982906,1.813134108
111.1452991,1.884461661
112.017094,1.776086823
112.3076923,1.955789215
112.8888889,2.171309107
113.4700855,2.027116768
114.3418803,1.846799483
114.9230769,1.990376929
116.0854701,2.061704483
117.5384615,2.204820759
118.4102564,2.312273258
118.991453,2.204052143
120.1538462,2.20343725
121.025641,2.346860973
122.1880342,2.34624608
123.3504274,2.237717518
124.2222222,2.12934268
125.0940171,2.344708848
125.6752137,2.488286294
126.8376068,2.59558507
128,2.523027732
129.1623932,2.630326508
130.034188,2.773750231
130.9059829,2.773289061
132.0683761,2.592818053
133.2307692,2.70011683
134.6837607,2.807261883
135.8461538,2.950531882
137.2991453,3.093648158
138.7521368,3.200793212
141.0769231,3.199563426
142.2393162,3.378804649
142.8205128,3.558353317
143.982906,3.701623317
144.8547009,3.629219701
146.017094,3.664576031
147.1794872,3.520076247
148.3418803,3.627375023
149.5042735,3.62676013
150.6666667,3.877943799
152.1196581,4.057031298
152.991453,3.912685236
154.1538462,3.912070344
155.025641,3.839666728
155.8974359,3.659349444
157.0598291,3.550820882
158.8034188,3.585869766
159.3846154,3.693475988
160.2564103,3.872870934
160.5470085,4.016602103
162,4.123747156
163.1623932,4.338959602
164.034188,4.518354547
164.6153846,4.769845662
165.1965812,4.877451885
165.7777778,5.02102933
166.3589744,5.200577999
167.2307692,5.379972945
167.8119658,5.595492837
168.3931624,5.918926397
168.974359,6.278331181
169.8461538,6.49369735
175.7894737,2.050166265
176.4210526,1.998108015
177.3684211,1.946164431
178,1.841818599
178.9473684,1.920593969
180.2105263,1.86876505
180.8421053,1.738275427
182.1052632,1.712590299
183.0526316,1.81750946
184.3157895,1.817968123
185.2631579,1.739880748
185.8947368,1.661678707
186.8421053,1.740454076
186.8421053,1.740454076
187.1578947,1.766712533
187.7894737,1.845373237
188.7368421,1.845717234
190,1.92460727
191.5789474,2.029755762
192.8421053,2.030214425
194.4210526,2.083075335
195.3684211,2.083419333
196.3157895,1.979188166
197.8947368,2.032049077
199.1578947,2.137082903
199.7894737,2.163456026
200.7368421,2.08536865
201.6842105,2.007281275
202.6315789,2.138344227
203.8947368,2.191090471
204.5263158,2.348182548
204.8421053,2.479016168
205.4736842,2.374670336
207.3684211,2.270783167
209.5789474,2.193154455
210.2105263,2.141096205
211.4736842,2.089267286
212.4210526,2.115755074
213.0526316,2.168271987
214.3157895,2.273305814
215.5789474,2.37833964
216.8421053,2.378798303
218.7368421,2.484061461
219.3684211,2.562722165
220,2.641382869
220.6315789,2.537037037
221.5789474,2.40666208
222.5263158,2.407006077
223.1578947,2.45952299
224.1052632,2.486010779
224.4210526,2.381550281
224.7368421,2.303233574
225.6842105,2.382008944
226.6315789,2.513071895
227.5789474,2.591847265
227.8947368,2.748824676
228.5263158,2.905916753
228.8421053,3.036750373
229.4736842,2.932404541
229.4736842,2.801685587
229.7894737,2.697225089
231.0526316,2.619252379
232,2.698027749
232.3157895,2.750429997
232.6315789,2.828976035
233.5789474,2.881607614
234.5263158,2.986526774
235.1578947,3.11747506
235.4736842,3.222164889
235.7894737,3.300710928
236.7368421,3.170335971
236.7368421,3.091904598
237.3684211,3.013702557
238,2.961644307
238.6315789,2.961873638
238.9473684,3.014275886
239.5789474,3.066792799
239.5789474,3.145224172
239.8947368,3.249914001
239.8947368,3.380632955
240.5263158,3.459293659
240.5263158,3.563868822
240.8421053,3.668558652
241.7894737,3.564327485
243.0526316,3.538642358
244,3.486698773
244.6315789,3.434640523
245.8947368,3.356667813
246.8421053,3.304724229
